Subj_num,Duration_sec,Finished,Stimulus_list,item_n,item_adj,Word_order,Type_of_Adj,noun_gender,Rating,LexTALE_Eng,LexTALE_Esp,Eng_acq_age,Span_acq_age,first_lang,Home_langs,kid_perc_speak_Eng,kid_perc_hear_Eng,kid_perc_ speak_Span,kid_perc_hear_Span,lang_k_5,lang_k_5_TEXT,lang_6_8,lang_9_12,lang_9_12_TEXT,Eng_usage_family,Eng_usage_friends,Eng_usage_classmates,Eng_usage_coworkers,Eng_usage_other,Eng_usage_ave,Span_usage_family,Span_usage_friends,Span_usage_classmates,Span_usage_coworkers,Span_usage_other,Span_usage_ave,Eng_comfort_hear,Eng_comfort_speak,Eng_comfort_read,Eng_comfort_write,Eng_comfort_ave,Span_comfort_hear,Span_comfort_speak,Span_comfort_read,Span_comfort_write,Span_comfort_ave,Percent_convo_w_bilinguals,CS_in _own_speech,CS_freq_family,CS_freq_friends,CS_freq_classmates,CS_freq_coworkers,CS_freq_other,CS_freq_ave,Eng_fluent,Span_fluent,Dom_lang,Dom_lang_TEXT,Live,work_EP,work_remote,work_remote_TEXT,classes_EP,classes_remote,classes_remote_TEXT,perc_time_EP,talk_w_EP,Age,Latinx,Gender,Education,Education
1,3601,TRUE,1,avión,estadounidense,NAdj,post-nominal,m,5,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,desayuno,holandés,NAdj,post-nominal,m,4,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,libro,alemán,NAdj,post-nominal,m,6,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,juguete,eléctrico,NAdj,post-nominal,m,7,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,cinturilla,elástico,NAdj,post-nominal,f,3,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,pintura,acrílica,NAdj,post-nominal,m,6,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,pájaro,cubano,NAdj,post-nominal,m,7,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,edificio,belga,NAdj,post-nominal,m,2,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,té,argentino,NAdj,post-nominal,m,6,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,perro,rubio,NAdj,no change,m,3,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,pelo,gris,NAdj,no change,m,3,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,cobija,rojo,NAdj,no change,f,5,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,cielo,azul,NAdj,no change,m,5,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,papel,blanco,NAdj,no change,m,1,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,pluma,negro,NAdj,no change,f,2,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,pintura,verde,NAdj,no change,m,3,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,líquido,marrón,NAdj,no change,m,4,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,lápiz,amarillo,NAdj,no change,m,5,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,flor,morado,NAdj,no change,f,5,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,amigo,viejo,NAdj,change,f,5,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
1,3601,TRUE,1,pájaro,viejo,NAdj,change,m,1,79.61538462,60.4702023,6,1,Spanish,Both,10,9,90,90,Both,They talked to me in both languages,English,English,NA,2,7,7,NA,NA,5.333333333,7,1,NA,NA,NA,4,7,7,7,7,,7,5,4,4,,20,Yes,4,2,2,NA,NA,2.666666667,Yes,No,English,NA,"El Paso,Texas, United States",No,NA,NA,Yes,No,NA,100,100,20,Yes,male,High school degree or equivalent (e.g. GED),
