Adjective,Position,Word_order,Type_of_Adj,Item_mean,Item_SD,N
acrílica,Pre-nominal,AdjN,post-nominal,3.736842105,1.855367823,76
acrílica,Post-nominal,NAdj,post-nominal,5.605263158,1.55162467,76
alemán,Pre-nominal,AdjN,post-nominal,3.947368421,2.012761562,76
alemán,Post-nominal,NAdj,post-nominal,5.710526316,1.558028809,76
algún,Pre-nominal,AdjN,pre-nominal,5.473684211,1.645479365,38
alguno,Post-nominal,NAdj,pre-nominal,4.631578947,2.113725682,38
alto,Pre-nominal,AdjN,change,4.289473684,2.134265147,152
alto,Post-nominal,NAdj,change,4.973684211,1.999824554,152
amarillo,Pre-nominal,AdjN,no change,3.736842105,2.238293396,76
amarillo,Post-nominal,NAdj,no change,5.837837838,1.518652793,76
aquel,Pre-nominal,AdjN,pre-nominal,5.842105263,1.607729866,38
aquel,Post-nominal,NAdj,pre-nominal,4.210526316,2.097060042,38
argentino,Pre-nominal,AdjN,post-nominal,2.684210526,1.416279617,38
argentino,Post-nominal,NAdj,post-nominal,5.555555556,1.756407504,38
azul,Pre-nominal,AdjN,no change,3.605263158,1.980164799,76
azul,Post-nominal,NAdj,no change,5.631578947,1.34407715,76
bastante,Pre-nominal,AdjN,pre-nominal,6,1.333333333,38
bastante,Post-nominal,NAdj,pre-nominal,3.263157895,2.050531239,38
belga,Pre-nominal,AdjN,post-nominal,2.789473684,1.315672509,38
belga,Post-nominal,NAdj,post-nominal,4.421052632,1.980902978,38
blanco,Pre-nominal,AdjN,no change,3.631578947,1.978547824,76
blanco,Post-nominal,NAdj,no change,6.184210526,1.332651556,76
brasileño,Pre-nominal,AdjN,post-nominal,5.105263158,1.728671193,38
brasileño,Post-nominal,NAdj,post-nominal,6.210526316,1.08417646,38
chileno,Pre-nominal,AdjN,post-nominal,4.315789474,2.161600014,38
chileno,Post-nominal,NAdj,post-nominal,5.578947368,1.67715995,38
cinco,Pre-nominal,AdjN,pre-nominal,6.052631579,1.268143184,38
cinco,Post-nominal,NAdj,pre-nominal,2.315789474,1.454977342,38
cuatro,Pre-nominal,AdjN,pre-nominal,5.631578947,1.73879033,38
cuatro,Post-nominal,NAdj,pre-nominal,2.315789474,1.945154423,38
cubano,Pre-nominal,AdjN,post-nominal,2.736842105,1.694504361,38
cubano,Post-nominal,NAdj,post-nominal,5.777777778,1.395604678,38
doce,Pre-nominal,AdjN,pre-nominal,5.578947368,1.216360211,38
doce,Post-nominal,NAdj,pre-nominal,2.315789474,1.492672159,38
dos,Pre-nominal,AdjN,pre-nominal,6.263157895,0.933458638,38
dos,Post-nominal,NAdj,pre-nominal,2.473684211,1.775400457,38
elástico,Pre-nominal,AdjN,post-nominal,4.210526316,2.002132576,76
elástico,Post-nominal,NAdj,post-nominal,5.5,1.656273903,76
eléctrico,Pre-nominal,AdjN,post-nominal,3.921052632,1.879930691,76
eléctrico,Post-nominal,NAdj,post-nominal,6.210526316,1.069425073,76
ese,Pre-nominal,AdjN,pre-nominal,4.783783784,2.015704111,76
ese,Post-nominal,NAdj,pre-nominal,2.552631579,1.735127823,76
estadounidense,Pre-nominal,AdjN,post-nominal,3.131578947,1.742490492,76
estadounidense,Post-nominal,NAdj,post-nominal,5.578947368,1.481992431,76
este,Pre-nominal,AdjN,pre-nominal,5.973684211,1.550707635,76
este,Post-nominal,NAdj,pre-nominal,2.657894737,1.774843972,76
gris,Pre-nominal,AdjN,no change,3.263157895,1.781044494,76
gris,Post-nominal,NAdj,no change,5.184210526,1.753070868,76
holandés,Pre-nominal,AdjN,post-nominal,3.972972973,1.950590886,76
